[rosmaster.main][INFO] 2019-08-06 18:09:50,409: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-08-06 18:09:50,410: Starting ROS Master Node
[xmlrpc][INFO] 2019-08-06 18:09:50,410: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-08-06 18:09:50,411: Started XML-RPC server [http://10.1.199.229:11311/]
[rosmaster.master][INFO] 2019-08-06 18:09:50,411: Master initialized: port[11311], uri[http://10.1.199.229:11311/]
[xmlrpc][INFO] 2019-08-06 18:09:50,411: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-08-06 18:09:50,473: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:09:50,475: +PARAM [/roslaunch/uris/host_10_1_199_229__46417] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:09:50,694: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:09:50,694: +PARAM [/amazon_warehouse_robot/amcl/odom_model_type] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:09:50,694: +PARAM [/amazon_warehouse_robot/amcl/gui_publish_rate] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:09:50,695: +PARAM [/move_base/global_costmap/laser_scan_sensor/sensor_frame] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:09:50,696: +PARAM [/move_base/TrajectoryPlannerROS/max_vel_theta] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:09:50,696: +PARAM [/move_base/global_costmap/laser_scan_sensor/observation_persistence] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:09:50,696: +PARAM [/move_base/TrajectoryPlannerROS/min_vel_x] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:09:50,696: +PARAM [/move_base/local_costmap/planner_freqency] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:09:50,696: +PARAM [/move_base/local_costmap/footprint_padding] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:09:50,696: +PARAM [/move_base/global_costmap/robot_base_frame] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:09:50,696: +PARAM [/amazon_warehouse_robot/amcl/laser_max_beams] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:09:50,696: +PARAM [/move_base/local_costmap/height] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:09:50,697: +PARAM [/move_base/local_costmap/obstacle_range] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:09:50,697: +PARAM [/move_base/global_costmap/footprint_padding] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:09:50,697: +SERVICE [/rosout/get_loggers] /rosout http://10.1.199.229:36517/
[rosmaster.master][INFO] 2019-08-06 18:09:50,698: +PARAM [/move_base/global_costmap/laser_scan_sensor/marking] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:09:50,698: +PARAM [/move_base/local_costmap/laser_scan_sensor/sensor_frame] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:09:50,699: +PARAM [/move_base/TrajectoryPlannerROS/acc_lim_y] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:09:50,699: +SERVICE [/rosout/set_logger_level] /rosout http://10.1.199.229:36517/
[rosmaster.master][INFO] 2019-08-06 18:09:50,699: +PARAM [/move_base/TrajectoryPlannerROS/acc_lim_x] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:09:50,700: +PARAM [/move_base/local_costmap/cost_scaling_factor] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:09:50,700: +PARAM [/move_base/local_costmap/static_map] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:09:50,700: +PARAM [/move_base/TrajectoryPlannerROS/holomonic_robot] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:09:50,701: +PARAM [/move_base/local_costmap/transform_tolerance] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:09:50,701: +PARAM [/move_base/global_costmap/raytrace_range] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:09:50,702: +PARAM [/move_base/global_costmap/cost_scaling_factor] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:09:50,702: +PARAM [/move_base/local_costmap/update_frequency] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:09:50,703: +PARAM [/move_base/local_costmap/footprint] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:09:50,704: +PARAM [/move_base/global_costmap/inflation_radius] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:09:50,704: +PARAM [/amazon_warehouse_robot/amcl/laser_max_range] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:09:50,705: +PARAM [/move_base/global_costmap/obstacle_range] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:09:50,705: +PARAM [/move_base/local_costmap/inflation_radius] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:09:50,706: +PARAM [/move_base/global_costmap/observation_sources] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:09:50,706: +PARAM [/move_base/local_costmap/laser_scan_sensor/clearing] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:09:50,707: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:09:50,707: +PARAM [/move_base/global_costmap/footprint] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:09:50,708: +PARAM [/amazon_warehouse_robot/amcl/odom_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:09:50,708: +PARAM [/map_server/frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:09:50,709: +PARAM [/move_base/global_costmap/laser_scan_sensor/topic] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:09:50,709: +SUB [/clock] /rosout http://10.1.199.229:36517/
[rosmaster.master][INFO] 2019-08-06 18:09:50,710: +PARAM [/move_base/global_costmap/laser_scan_sensor/data_type] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:09:50,710: +PARAM [/move_base/TrajectoryPlannerROS/acc_lim_th] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:09:50,710: +PARAM [/move_base/global_costmap/update_frequency] by /roslaunch
