[rosmaster.main][INFO] 2019-08-06 18:24:16,639: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-08-06 18:24:16,639: Starting ROS Master Node
[xmlrpc][INFO] 2019-08-06 18:24:16,640: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-08-06 18:24:16,640: Started XML-RPC server [http://10.1.199.229:11311/]
[rosmaster.master][INFO] 2019-08-06 18:24:16,641: Master initialized: port[11311], uri[http://10.1.199.229:11311/]
[xmlrpc][INFO] 2019-08-06 18:24:16,641: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-08-06 18:24:16,697: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:24:16,699: +PARAM [/roslaunch/uris/host_10_1_199_229__43087] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:24:16,920: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:24:16,921: +PARAM [/move_base/local_costmap/laser_scan_sensor/sensor_frame] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:24:16,922: +PARAM [/move_base_patrol/TrajectoryPlannerROS/acc_lim_x] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:24:16,922: +PARAM [/amcl/gui_publish_rate] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:24:16,922: +PARAM [/move_base/local_costmap/footprint] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:24:16,922: +PARAM [/amcl_patrol/laser_max_beams] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:24:16,922: +PARAM [/move_base_patrol/global_costmap/raytrace_range] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:24:16,922: +PARAM [/move_base_patrol/local_costmap/laser_scan_sensor/topic] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:24:16,923: +PARAM [/move_base/local_costmap/observation_sources] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:24:16,923: +PARAM [/move_base/global_costmap/laser_scan_sensor/marking] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:24:16,923: +PARAM [/move_base/TrajectoryPlannerROS/acc_lim_y] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:24:16,923: +PARAM [/move_base/TrajectoryPlannerROS/acc_lim_x] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:24:16,923: +PARAM [/move_base/local_costmap/cost_scaling_factor] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:24:16,923: +PARAM [/move_base_patrol/TrajectoryPlannerROS/max_rotational_vel] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:24:16,924: +SERVICE [/rosout/get_loggers] /rosout http://10.1.199.229:39087/
[rosmaster.master][INFO] 2019-08-06 18:24:16,924: +PARAM [/move_base_patrol/local_costmap/laser_scan_sensor/observation_persistence] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:24:16,925: +PARAM [/amcl_patrol/global_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:24:16,925: +PARAM [/move_base/local_costmap/transform_tolerance] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:24:16,925: +PARAM [/move_base/TrajectoryPlannerROS/min_vel_x] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:24:16,926: +SERVICE [/rosout/set_logger_level] /rosout http://10.1.199.229:39087/
[rosmaster.master][INFO] 2019-08-06 18:24:16,926: +PARAM [/move_base/local_costmap/height] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:24:16,926: +PARAM [/amcl/laser_max_range] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:24:16,927: +PARAM [/move_base/TrajectoryPlannerROS/holomonic_robot] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:24:16,928: +PARAM [/move_base_patrol/local_costmap/height] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:24:16,928: +PARAM [/move_base/global_costmap/obstacle_range] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:24:16,929: +PARAM [/move_base/local_costmap/inflation_radius] by /roslaunch
