[rosmaster.main][INFO] 2019-08-06 18:03:04,404: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-08-06 18:03:04,404: Starting ROS Master Node
[xmlrpc][INFO] 2019-08-06 18:03:04,405: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-08-06 18:03:04,406: Started XML-RPC server [http://10.1.199.229:11311/]
[rosmaster.master][INFO] 2019-08-06 18:03:04,406: Master initialized: port[11311], uri[http://10.1.199.229:11311/]
[xmlrpc][INFO] 2019-08-06 18:03:04,406: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-08-06 18:03:04,468: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:03:04,470: +PARAM [/roslaunch/uris/host_10_1_199_229__41495] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:03:04,690: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:03:04,690: +PARAM [/amazon_warehouse_robot/amcl/odom_model_type] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:03:04,690: +PARAM [/amazon_warehouse_robot/amcl/gui_publish_rate] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:03:04,691: +PARAM [/move_base/global_costmap/laser_scan_sensor/sensor_frame] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:03:04,692: +PARAM [/move_base/TrajectoryPlannerROS/max_vel_theta] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:03:04,692: +PARAM [/move_base/global_costmap/laser_scan_sensor/observation_persistence] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:03:04,692: +PARAM [/move_base/TrajectoryPlannerROS/min_vel_x] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:03:04,692: +PARAM [/move_base/local_costmap/planner_freqency] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:03:04,692: +PARAM [/move_base/local_costmap/footprint_padding] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:03:04,692: +PARAM [/move_base/global_costmap/robot_base_frame] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:03:04,692: +PARAM [/amazon_warehouse_robot/amcl/laser_max_beams] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:03:04,692: +PARAM [/move_base/local_costmap/height] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:03:04,693: +SERVICE [/rosout/get_loggers] /rosout http://10.1.199.229:40453/
[rosmaster.master][INFO] 2019-08-06 18:03:04,693: +PARAM [/move_base/local_costmap/obstacle_range] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:03:04,694: +PARAM [/move_base/global_costmap/footprint_padding] by /roslaunch
