[rosmaster.main][INFO] 2019-08-06 18:17:34,935: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-08-06 18:17:34,935: Starting ROS Master Node
[xmlrpc][INFO] 2019-08-06 18:17:34,936: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-08-06 18:17:34,937: Started XML-RPC server [http://10.1.199.229:11311/]
[rosmaster.master][INFO] 2019-08-06 18:17:34,937: Master initialized: port[11311], uri[http://10.1.199.229:11311/]
[xmlrpc][INFO] 2019-08-06 18:17:34,937: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-08-06 18:17:34,995: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:34,997: +PARAM [/roslaunch/uris/host_10_1_199_229__37089] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,222: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,222: +PARAM [/move_base/local_costmap/laser_scan_sensor/sensor_frame] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,223: +PARAM [/move_base_patrol/TrajectoryPlannerROS/acc_lim_x] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,224: +PARAM [/amcl/gui_publish_rate] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,224: +PARAM [/move_base/local_costmap/footprint] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,224: +PARAM [/amcl_patrol/laser_max_beams] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,224: +PARAM [/move_base_patrol/global_costmap/raytrace_range] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,224: +PARAM [/move_base_patrol/local_costmap/laser_scan_sensor/topic] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,224: +PARAM [/move_base/local_costmap/observation_sources] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,224: +PARAM [/move_base/global_costmap/laser_scan_sensor/marking] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,224: +PARAM [/move_base/TrajectoryPlannerROS/acc_lim_y] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,224: +PARAM [/move_base/TrajectoryPlannerROS/acc_lim_x] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,225: +PARAM [/move_base/local_costmap/cost_scaling_factor] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,225: +SERVICE [/rosout/get_loggers] /rosout http://10.1.199.229:36417/
[rosmaster.master][INFO] 2019-08-06 18:17:35,225: +PARAM [/move_base_patrol/TrajectoryPlannerROS/max_rotational_vel] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,226: +PARAM [/move_base_patrol/local_costmap/laser_scan_sensor/observation_persistence] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,226: +PARAM [/amcl_patrol/global_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,226: +PARAM [/move_base/local_costmap/transform_tolerance] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,227: +PARAM [/move_base/TrajectoryPlannerROS/min_vel_x] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,227: +SERVICE [/rosout/set_logger_level] /rosout http://10.1.199.229:36417/
[rosmaster.master][INFO] 2019-08-06 18:17:35,227: +PARAM [/move_base/local_costmap/height] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,228: +PARAM [/amcl/laser_max_range] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,228: +PARAM [/move_base/TrajectoryPlannerROS/holomonic_robot] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,229: +PARAM [/move_base_patrol/local_costmap/height] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,229: +PARAM [/move_base/global_costmap/obstacle_range] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,229: +PARAM [/move_base/local_costmap/inflation_radius] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,230: +PARAM [/move_base_patrol/local_costmap/inflation_radius] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,230: +PARAM [/cmd_vel_mux/yaml_cfg_file] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,230: +PARAM [/move_base/global_costmap/footprint] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,231: +PARAM [/move_base_patrol/global_costmap/obstacle_range] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,232: +PARAM [/amcl/base_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,232: +PARAM [/move_base_patrol/global_costmap/cost_scaling_factor] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,232: +PARAM [/move_base/local_costmap/static_map] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,233: +PARAM [/move_base/local_costmap/resolution] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,233: +PARAM [/move_base_patrol/global_costmap/global_frame] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,233: +PARAM [/move_base/global_costmap/laser_scan_sensor/data_type] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,234: +PARAM [/move_base_patrol/local_costmap/laser_scan_sensor/marking] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,234: +PARAM [/move_base_patrol/local_costmap/publish_frequency] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,234: +PARAM [/move_base_patrol/global_costmap/laser_scan_sensor/topic] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,235: +PARAM [/move_base/local_costmap/width] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,235: +PARAM [/move_base/TrajectoryPlannerROS/max_vel_x] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,235: +PARAM [/move_base/local_costmap/rolling_window] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,236: +PARAM [/amcl/laser_max_beams] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,236: +PARAM [/move_base_patrol/local_costmap/robot_base_frame] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,237: +PARAM [/move_base_patrol/local_costmap/static_map] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,237: +PARAM [/amcl_patrol/odom_model_type] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,237: +SUB [/clock] /rosout http://10.1.199.229:36417/
[rosmaster.master][INFO] 2019-08-06 18:17:35,238: +PARAM [/move_base/TrajectoryPlannerROS/min_vel_theta] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,238: +PARAM [/move_base_patrol/TrajectoryPlannerROS/min_in_place_rotational_vel] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,238: +PARAM [/move_base_patrol/local_costmap/obstacle_range] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,238: +PARAM [/amcl/odom_model_type] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,238: +PARAM [/move_base/TrajectoryPlannerROS/max_vel_theta] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,239: +PUB [/rosout_agg] /rosout http://10.1.199.229:36417/
[rosmaster.master][INFO] 2019-08-06 18:17:35,239: +PARAM [/move_base_patrol/local_costmap/footprint_padding] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,240: +PARAM [/move_base/global_costmap/cost_scaling_factor] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,240: +PARAM [/move_base/global_costmap/inflation_radius] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,241: +PARAM [/move_base_patrol/local_costmap/laser_scan_sensor/sensor_frame] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,241: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,241: +PARAM [/move_base_patrol/local_costmap/laser_scan_sensor/data_type] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,242: +PARAM [/move_base_patrol/TrajectoryPlannerROS/acc_lim_y] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,242: +PARAM [/map_server/frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,243: +PARAM [/move_base/local_costmap/planner_patiente] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,244: +PARAM [/move_base/TrajectoryPlannerROS/max_rotational_vel] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,245: +PARAM [/amcl/odom_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,245: +PARAM [/move_base/local_costmap/raytrace_range] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,245: +PARAM [/move_base/TrajectoryPlannerROS/min_in_place_rotational_vel] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,246: +PARAM [/amcl_patrol/odom_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,246: +PARAM [/move_base_patrol/local_costmap/observation_sources] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,246: +PARAM [/amcl_patrol/use_map_topic] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,247: +SUB [/rosout] /rosout http://10.1.199.229:36417/
[rosmaster.master][INFO] 2019-08-06 18:17:35,247: +PARAM [/move_base/global_costmap/static_map] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,248: +PARAM [/move_base_patrol/TrajectoryPlannerROS/acc_lim_th] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,248: +PARAM [/move_base_patrol/global_costmap/laser_scan_sensor/data_type] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,248: +PARAM [/move_base_patrol/local_costmap/raytrace_range] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,248: +PARAM [/move_base/global_costmap/laser_scan_sensor/sensor_frame] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,248: +PARAM [/move_base/global_costmap/laser_scan_sensor/observation_persistence] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,248: +PARAM [/move_base/local_costmap/planner_freqency] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,248: +PARAM [/move_base/local_costmap/footprint_padding] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,248: +PARAM [/move_base/global_costmap/robot_base_frame] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,248: +PARAM [/move_base_patrol/global_costmap/static_map] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,249: +PARAM [/move_base_patrol/global_costmap/laser_scan_sensor/clearing] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,249: +PARAM [/move_base/global_costmap/footprint_padding] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,249: +PARAM [/move_base_patrol/global_costmap/update_frequency] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,249: +PARAM [/amcl/global_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,249: +PARAM [/move_base_patrol/global_costmap/laser_scan_sensor/marking] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,249: +PARAM [/move_base/local_costmap/update_frequency] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,249: +PARAM [/amcl_patrol/gui_publish_rate] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,249: +PARAM [/move_base/local_costmap/publish_frequency] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,249: +PARAM [/move_base_patrol/global_costmap/inflation_radius] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,250: +PARAM [/move_base/global_costmap/observation_sources] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,250: +PARAM [/move_base_patrol/global_costmap/robot_base_frame] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,250: +PARAM [/move_base_patrol/TrajectoryPlannerROS/min_vel_x] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,250: +PARAM [/move_base_patrol/local_costmap/resolution] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,250: +PARAM [/move_base/global_costmap/update_frequency] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,250: +PARAM [/move_base/TrajectoryPlannerROS/acc_lim_th] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,250: +PARAM [/move_base_patrol/local_costmap/width] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,250: +PARAM [/move_base_patrol/global_costmap/footprint_padding] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,251: +PARAM [/move_base_patrol/local_costmap/cost_scaling_factor] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,251: +PARAM [/move_base/local_costmap/laser_scan_sensor/data_type] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,251: +PARAM [/move_base_patrol/global_costmap/laser_scan_sensor/sensor_frame] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,251: +PARAM [/move_base_patrol/TrajectoryPlannerROS/min_vel_theta] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,251: +PARAM [/move_base_patrol/local_costmap/footprint] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,251: +PARAM [/move_base_patrol/TrajectoryPlannerROS/min_in_place_vel_theta] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,251: +PARAM [/move_base_patrol/TrajectoryPlannerROS/max_vel_theta] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,251: +PARAM [/move_base_patrol/local_costmap/laser_scan_sensor/clearing] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,251: +PARAM [/move_base/local_costmap/laser_scan_sensor/topic] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,252: +PARAM [/move_base_patrol/TrajectoryPlannerROS/holomonic_robot] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,252: +PARAM [/amcl_patrol/base_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,252: +PARAM [/move_base_patrol/local_costmap/global_frame] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,252: +PARAM [/move_base_patrol/TrajectoryPlannerROS/max_vel_x] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,252: +PARAM [/move_base/local_costmap/robot_base_frame] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,252: +PARAM [/move_base_patrol/local_costmap/update_frequency] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:17:35,252: +PARAM [/move_base_patrol/local_costmap/transform_tolerance] by /roslaunch
