[rosmaster.main][INFO] 2019-08-06 15:47:40,012: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-08-06 15:47:40,012: Starting ROS Master Node
[xmlrpc][INFO] 2019-08-06 15:47:40,013: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-08-06 15:47:40,014: Started XML-RPC server [http://10.1.199.229:11311/]
[rosmaster.master][INFO] 2019-08-06 15:47:40,014: Master initialized: port[11311], uri[http://10.1.199.229:11311/]
[xmlrpc][INFO] 2019-08-06 15:47:40,014: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-08-06 15:47:40,072: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 15:47:40,074: +PARAM [/roslaunch/uris/host_10_1_199_229__45803] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 15:47:40,288: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 15:47:40,289: +PARAM [/move_base/local_costmap/observation_sources] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 15:47:40,290: +PARAM [/amcl/laser_max_beams] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 15:47:40,290: +PARAM [/move_base/local_costmap/laser_scan_sensor/sensor_frame] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 15:47:40,290: +PARAM [/amcl/gui_publish_rate] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 15:47:40,290: +PARAM [/move_base/global_costmap/laser_scan_sensor/sensor_frame] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 15:47:40,290: +PARAM [/move_base/TrajectoryPlannerROS/max_vel_theta] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 15:47:40,290: +PARAM [/move_base/global_costmap/laser_scan_sensor/observation_persistence] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 15:47:40,290: +PARAM [/move_base/local_costmap/update_frequency] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 15:47:40,290: +PARAM [/move_base/local_costmap/planner_freqency] by /roslaunch
