[rosmaster.main][INFO] 2019-08-06 15:27:21,039: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-08-06 15:27:21,039: Starting ROS Master Node
[xmlrpc][INFO] 2019-08-06 15:27:21,040: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-08-06 15:27:21,041: Started XML-RPC server [http://10.1.199.229:11311/]
[rosmaster.master][INFO] 2019-08-06 15:27:21,041: Master initialized: port[11311], uri[http://10.1.199.229:11311/]
[xmlrpc][INFO] 2019-08-06 15:27:21,041: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-08-06 15:27:21,101: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 15:27:21,103: +PARAM [/roslaunch/uris/host_10_1_199_229__41753] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 15:27:21,327: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 15:27:21,327: +PARAM [/amazon_warehouse_robot/amcl/gui_publish_rate] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 15:27:21,328: +PARAM [/amazon_warehouse_robot/move_base/global_costmap/laser_scan_sensor/data_type] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 15:27:21,328: +PARAM [/amazon_warehouse_robot_patrol/move_base/TrajectoryPlannerROS/max_vel_x] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 15:27:21,329: +PARAM [/amazon_warehouse_robot_patrol/move_base/global_costmap/cost_scaling_factor] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 15:27:21,329: +PARAM [/amazon_warehouse_robot_patrol/amcl_patrol/odom_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 15:27:21,329: +PARAM [/amazon_warehouse_robot/move_base/global_costmap/laser_scan_sensor/topic] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 15:27:21,329: +PARAM [/amazon_warehouse_robot_patrol/move_base/global_costmap/laser_scan_sensor/marking] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 15:27:21,329: +PARAM [/amazon_warehouse_robot_patrol/move_base/local_costmap/planner_patiente] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 15:27:21,329: +PARAM [/amazon_warehouse_robot/move_base/local_costmap/robot_base_frame] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 15:27:21,329: +PARAM [/amazon_warehouse_robot_patrol/move_base/global_costmap/footprint] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 15:27:21,329: +PARAM [/amazon_warehouse_robot/move_base/TrajectoryPlannerROS/min_in_place_vel_theta] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 15:27:21,329: +PARAM [/amazon_warehouse_robot/move_base/local_costmap/raytrace_range] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 15:27:21,329: +PARAM [/amazon_warehouse_robot/move_base/local_costmap/transform_tolerance] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 15:27:21,330: +PARAM [/amazon_warehouse_robot_patrol/move_base/local_costmap/obstacle_range] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 15:27:21,331: +SERVICE [/rosout/get_loggers] /rosout http://10.1.199.229:37113/
[rosmaster.master][INFO] 2019-08-06 15:27:21,331: +PARAM [/amazon_warehouse_robot_patrol/move_base/TrajectoryPlannerROS/acc_lim_th] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 15:27:21,331: +PARAM [/amazon_warehouse_robot_patrol/amcl_patrol/laser_max_beams] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 15:27:21,331: +PARAM [/amazon_warehouse_robot/move_base/global_costmap/footprint_padding] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 15:27:21,331: +PARAM [/amazon_warehouse_robot/move_base/TrajectoryPlannerROS/max_rotational_vel] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 15:27:21,332: +PARAM [/amazon_warehouse_robot/move_base/local_costmap/static_map] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 15:27:21,332: +SERVICE [/rosout/set_logger_level] /rosout http://10.1.199.229:37113/
[rosmaster.master][INFO] 2019-08-06 15:27:21,333: +PARAM [/amazon_warehouse_robot/move_base/local_costmap/update_frequency] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 15:27:21,333: +PARAM [/amazon_warehouse_robot/amcl/base_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 15:27:21,333: +PARAM [/amazon_warehouse_robot_patrol/move_base/global_costmap/robot_base_frame] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 15:27:21,334: +PARAM [/amazon_warehouse_robot_patrol/amcl_patrol/base_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 15:27:21,334: +PARAM [/amazon_warehouse_robot_patrol/move_base/local_costmap/static_map] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 15:27:21,335: +PARAM [/amazon_warehouse_robot/move_base/global_costmap/global_frame] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 15:27:21,335: +PARAM [/amazon_warehouse_robot/move_base/global_costmap/static_map] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 15:27:21,335: +PARAM [/amazon_warehouse_robot_patrol/move_base/local_costmap/height] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 15:27:21,336: +PARAM [/amazon_warehouse_robot/move_base/local_costmap/observation_sources] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 15:27:21,337: +PARAM [/amazon_warehouse_robot/move_base/local_costmap/footprint_padding] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 15:27:21,337: +PARAM [/amazon_warehouse_robot_patrol/move_base/local_costmap/inflation_radius] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 15:27:21,338: +PARAM [/amazon_warehouse_robot_patrol/move_base/global_costmap/observation_sources] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 15:27:21,338: +PARAM [/amazon_warehouse_robot/move_base/TrajectoryPlannerROS/acc_lim_x] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 15:27:21,339: +PARAM [/amazon_warehouse_robot/move_base/TrajectoryPlannerROS/acc_lim_y] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 15:27:21,339: +PARAM [/amazon_warehouse_robot/amcl/laser_max_beams] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 15:27:21,339: +PARAM [/amazon_warehouse_robot_patrol/move_base/global_costmap/update_frequency] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 15:27:21,340: +PARAM [/amazon_warehouse_robot/move_base/global_costmap/laser_scan_sensor/marking] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 15:27:21,340: +PARAM [/amazon_warehouse_robot_patrol/move_base/TrajectoryPlannerROS/holomonic_robot] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 15:27:21,341: +PARAM [/amazon_warehouse_robot_patrol/move_base/local_costmap/laser_scan_sensor/data_type] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 15:27:21,341: +PARAM [/amazon_warehouse_robot_patrol/move_base/local_costmap/publish_frequency] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 15:27:21,342: +SUB [/clock] /rosout http://10.1.199.229:37113/
[rosmaster.master][INFO] 2019-08-06 15:27:21,342: +PARAM [/amazon_warehouse_robot_patrol/move_base/global_costmap/laser_scan_sensor/data_type] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 15:27:21,343: +PARAM [/amazon_warehouse_robot/move_base/local_costmap/cost_scaling_factor] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 15:27:21,343: +PARAM [/amazon_warehouse_robot/move_base/local_costmap/inflation_radius] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 15:27:21,343: +PARAM [/amazon_warehouse_robot_patrol/move_base/global_costmap/inflation_radius] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 15:27:21,343: +PARAM [/amazon_warehouse_robot_patrol/move_base/TrajectoryPlannerROS/min_vel_theta] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 15:27:21,343: +PARAM [/amazon_warehouse_robot/move_base/local_costmap/laser_scan_sensor/topic] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 15:27:21,344: +PUB [/rosout_agg] /rosout http://10.1.199.229:37113/
[rosmaster.master][INFO] 2019-08-06 15:27:21,344: +PARAM [/amazon_warehouse_robot_patrol/move_base/TrajectoryPlannerROS/acc_lim_x] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 15:27:21,345: +PARAM [/amazon_warehouse_robot_patrol/move_base/TrajectoryPlannerROS/acc_lim_y] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 15:27:21,345: +PARAM [/amazon_warehouse_robot_patrol/move_base/TrajectoryPlannerROS/max_rotational_vel] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 15:27:21,345: +PARAM [/amazon_warehouse_robot_patrol/move_base/local_costmap/raytrace_range] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 15:27:21,345: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 15:27:21,346: +PARAM [/amazon_warehouse_robot/amcl/odom_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 15:27:21,346: +PARAM [/amazon_warehouse_robot/move_base/TrajectoryPlannerROS/min_vel_theta] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 15:27:21,347: +PARAM [/map_server/frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 15:27:21,348: +PARAM [/amazon_warehouse_robot/move_base/local_costmap/laser_scan_sensor/data_type] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 15:27:21,348: +PARAM [/amazon_warehouse_robot/move_base/local_costmap/footprint] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 15:27:21,349: +PARAM [/amazon_warehouse_robot/move_base/TrajectoryPlannerROS/min_vel_x] by /roslaunch
