[rosmaster.main][INFO] 2019-08-06 18:05:48,499: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-08-06 18:05:48,500: Starting ROS Master Node
[xmlrpc][INFO] 2019-08-06 18:05:48,500: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-08-06 18:05:48,501: Started XML-RPC server [http://10.1.199.229:11311/]
[rosmaster.master][INFO] 2019-08-06 18:05:48,501: Master initialized: port[11311], uri[http://10.1.199.229:11311/]
[xmlrpc][INFO] 2019-08-06 18:05:48,501: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-08-06 18:05:48,564: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:05:48,566: +PARAM [/roslaunch/uris/host_10_1_199_229__46725] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:05:48,775: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:05:48,775: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:05:48,775: +PARAM [/amazon_warehouse_robot/cmd_vel_mux/yaml_cfg_file] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:05:48,776: +PARAM [/amazon_warehouse_robot/amcl/odom_model_type] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:05:48,776: +PARAM [/amazon_warehouse_robot/amcl/gui_publish_rate] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:05:48,776: +PARAM [/map_server/frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:05:48,776: +PARAM [/amazon_warehouse_robot/amcl/odom_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:05:48,776: +PARAM [/amazon_warehouse_robot/amcl/global_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:05:48,776: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:05:48,776: +PARAM [/amazon_warehouse_robot/amcl/laser_max_range] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:05:48,777: +PARAM [/amazon_warehouse_robot/amcl/laser_max_beams] by /roslaunch
