[rosmaster.main][INFO] 2019-08-06 17:51:31,303: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-08-06 17:51:31,303: Starting ROS Master Node
[xmlrpc][INFO] 2019-08-06 17:51:31,304: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-08-06 17:51:31,305: Started XML-RPC server [http://10.1.199.229:11311/]
[rosmaster.master][INFO] 2019-08-06 17:51:31,305: Master initialized: port[11311], uri[http://10.1.199.229:11311/]
[xmlrpc][INFO] 2019-08-06 17:51:31,305: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-08-06 17:51:31,361: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:51:31,363: +PARAM [/roslaunch/uris/host_10_1_199_229__37751] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:51:31,579: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:51:31,579: +PARAM [/amazon_warehouse_robot/amcl/odom_model_type] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:51:31,581: +PARAM [/amazon_warehouse_robot/amcl/gui_publish_rate] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:51:31,581: +PARAM [/move_base/global_costmap/laser_scan_sensor/sensor_frame] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:51:31,581: +PARAM [/move_base/TrajectoryPlannerROS/max_vel_theta] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:51:31,581: +PARAM [/move_base/global_costmap/laser_scan_sensor/observation_persistence] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:51:31,581: +PARAM [/move_base/TrajectoryPlannerROS/min_vel_x] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:51:31,581: +PARAM [/move_base/local_costmap/planner_freqency] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:51:31,581: +PARAM [/move_base/local_costmap/footprint_padding] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:51:31,581: +PARAM [/move_base/global_costmap/robot_base_frame] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:51:31,581: +PARAM [/amazon_warehouse_robot/amcl/laser_max_beams] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:51:31,582: +SERVICE [/rosout/get_loggers] /rosout http://10.1.199.229:33281/
[rosmaster.master][INFO] 2019-08-06 17:51:31,582: +PARAM [/move_base/local_costmap/height] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:51:31,583: +PARAM [/move_base/local_costmap/obstacle_range] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:51:31,584: +PARAM [/move_base/global_costmap/footprint_padding] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:51:31,584: +SERVICE [/rosout/set_logger_level] /rosout http://10.1.199.229:33281/
[rosmaster.master][INFO] 2019-08-06 17:51:31,584: +PARAM [/move_base/global_costmap/laser_scan_sensor/marking] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:51:31,585: +PARAM [/move_base/local_costmap/laser_scan_sensor/sensor_frame] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:51:31,585: +PARAM [/move_base/TrajectoryPlannerROS/acc_lim_y] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:51:31,586: +PARAM [/move_base/TrajectoryPlannerROS/acc_lim_x] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:51:31,586: +PARAM [/move_base/local_costmap/cost_scaling_factor] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:51:31,586: +PARAM [/move_base/local_costmap/static_map] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:51:31,587: +PARAM [/move_base/TrajectoryPlannerROS/holomonic_robot] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:51:31,587: +PARAM [/move_base/local_costmap/transform_tolerance] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:51:31,587: +PARAM [/move_base/global_costmap/raytrace_range] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:51:31,588: +PARAM [/move_base/global_costmap/cost_scaling_factor] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:51:31,588: +PARAM [/move_base/local_costmap/update_frequency] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:51:31,589: +PARAM [/move_base/local_costmap/footprint] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:51:31,589: +PARAM [/move_base/global_costmap/inflation_radius] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:51:31,590: +PARAM [/amazon_warehouse_robot/amcl/laser_max_range] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:51:31,591: +PARAM [/move_base/global_costmap/obstacle_range] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:51:31,591: +PARAM [/move_base/local_costmap/inflation_radius] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:51:31,592: +PARAM [/move_base/global_costmap/observation_sources] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:51:31,592: +PARAM [/move_base/local_costmap/laser_scan_sensor/clearing] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:51:31,593: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:51:31,593: +PARAM [/move_base/global_costmap/footprint] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:51:31,594: +SUB [/clock] /rosout http://10.1.199.229:33281/
[rosmaster.master][INFO] 2019-08-06 17:51:31,594: +PARAM [/amazon_warehouse_robot/amcl/odom_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:51:31,594: +PARAM [/map_server/frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:51:31,595: +PARAM [/move_base/global_costmap/laser_scan_sensor/topic] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:51:31,595: +PARAM [/move_base/global_costmap/laser_scan_sensor/data_type] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:51:31,595: +PARAM [/move_base/TrajectoryPlannerROS/acc_lim_th] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:51:31,595: +PARAM [/move_base/global_costmap/update_frequency] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:51:31,595: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:51:31,596: +PUB [/rosout_agg] /rosout http://10.1.199.229:33281/
[rosmaster.master][INFO] 2019-08-06 17:51:31,596: +PARAM [/move_base/local_costmap/global_frame] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:51:31,597: +PARAM [/move_base/global_costmap/global_frame] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:51:31,597: +PARAM [/move_base/TrajectoryPlannerROS/max_rotational_vel] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:51:31,598: +PARAM [/amazon_warehouse_robot/cmd_vel_mux/yaml_cfg_file] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:51:31,598: +PARAM [/move_base/local_costmap/resolution] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:51:31,598: +PARAM [/move_base/local_costmap/laser_scan_sensor/data_type] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:51:31,599: +PARAM [/amazon_warehouse_robot/amcl/base_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:51:31,600: +PARAM [/move_base/local_costmap/laser_scan_sensor/observation_persistence] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:51:31,600: +PARAM [/move_base/local_costmap/laser_scan_sensor/marking] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:51:31,601: +PARAM [/amazon_warehouse_robot/amcl/global_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:51:31,601: +PARAM [/move_base/local_costmap/publish_frequency] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:51:31,602: +PARAM [/move_base/local_costmap/raytrace_range] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:51:31,605: +PARAM [/move_base/TrajectoryPlannerROS/min_in_place_vel_theta] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:51:31,605: +PARAM [/move_base/local_costmap/observation_sources] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:51:31,606: +PARAM [/move_base/local_costmap/robot_base_frame] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:51:31,607: +SUB [/rosout] /rosout http://10.1.199.229:33281/
[rosmaster.master][INFO] 2019-08-06 17:51:31,607: +PARAM [/move_base/TrajectoryPlannerROS/min_vel_theta] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:51:31,608: +PARAM [/move_base/local_costmap/laser_scan_sensor/topic] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:51:31,608: +PARAM [/move_base/local_costmap/width] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:51:31,608: +PARAM [/move_base/local_costmap/planner_patiente] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:51:31,608: +PARAM [/move_base/TrajectoryPlannerROS/max_vel_x] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:51:31,608: +PARAM [/move_base/local_costmap/rolling_window] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:51:31,608: +PARAM [/move_base/global_costmap/static_map] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:51:31,609: +PARAM [/amazon_warehouse_robot/amcl/use_map_topic] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:51:31,609: +PARAM [/move_base/global_costmap/laser_scan_sensor/clearing] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:51:31,609: +PARAM [/move_base/TrajectoryPlannerROS/min_in_place_rotational_vel] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:51:31,674: +PUB [/rosout] /map_server http://10.1.199.229:40143/
[rosmaster.master][INFO] 2019-08-06 17:51:31,675: +SERVICE [/map_server/get_loggers] /map_server http://10.1.199.229:40143/
[rosmaster.master][INFO] 2019-08-06 17:51:31,676: +SERVICE [/map_server/set_logger_level] /map_server http://10.1.199.229:40143/
[rosmaster.master][INFO] 2019-08-06 17:51:31,681: +PUB [/rosout] /amazon_warehouse_robot/base_to_laser_main http://10.1.199.229:37185/
[rosmaster.master][INFO] 2019-08-06 17:51:31,683: +SERVICE [/amazon_warehouse_robot/base_to_laser_main/get_loggers] /amazon_warehouse_robot/base_to_laser_main http://10.1.199.229:37185/
[rosmaster.master][INFO] 2019-08-06 17:51:31,685: +SERVICE [/amazon_warehouse_robot/base_to_laser_main/set_logger_level] /amazon_warehouse_robot/base_to_laser_main http://10.1.199.229:37185/
[rosmaster.master][INFO] 2019-08-06 17:51:31,690: +SUB [/clock] /map_server http://10.1.199.229:40143/
[rosmaster.master][INFO] 2019-08-06 17:51:31,698: +PUB [/rosout] /amazon_warehouse_robot/amcl http://10.1.199.229:39967/
[rosmaster.master][INFO] 2019-08-06 17:51:31,700: +SUB [/clock] /amazon_warehouse_robot/base_to_laser_main http://10.1.199.229:37185/
[rosmaster.master][INFO] 2019-08-06 17:51:31,702: +SERVICE [/amazon_warehouse_robot/amcl/get_loggers] /amazon_warehouse_robot/amcl http://10.1.199.229:39967/
[rosmaster.master][INFO] 2019-08-06 17:51:31,703: +PUB [/tf] /amazon_warehouse_robot/base_to_laser_main http://10.1.199.229:37185/
[rosmaster.master][INFO] 2019-08-06 17:51:31,704: +SERVICE [/amazon_warehouse_robot/amcl/set_logger_level] /amazon_warehouse_robot/amcl http://10.1.199.229:39967/
[rosmaster.master][INFO] 2019-08-06 17:51:31,705: publisherUpdate[/rosout] -> http://10.1.199.229:33281/ ['http://10.1.199.229:40143/']
[rosmaster.master][INFO] 2019-08-06 17:51:31,709: publisherUpdate[/rosout] -> http://10.1.199.229:33281/ ['http://10.1.199.229:40143/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-08-06 17:51:31,709: publisherUpdate[/rosout] -> http://10.1.199.229:33281/ ['http://10.1.199.229:40143/', 'http://10.1.199.229:37185/']
[rosmaster.master][INFO] 2019-08-06 17:51:31,711: publisherUpdate[/rosout] -> http://10.1.199.229:33281/ ['http://10.1.199.229:40143/', 'http://10.1.199.229:37185/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-08-06 17:51:31,711: publisherUpdate[/rosout] -> http://10.1.199.229:33281/ ['http://10.1.199.229:40143/', 'http://10.1.199.229:37185/', 'http://10.1.199.229:39967/']
[rosmaster.master][INFO] 2019-08-06 17:51:31,714: publisherUpdate[/rosout] -> http://10.1.199.229:33281/ ['http://10.1.199.229:40143/', 'http://10.1.199.229:37185/', 'http://10.1.199.229:39967/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-08-06 17:51:31,714: +PUB [/rosout] /amazon_warehouse_robot/cmd_vel_mux http://10.1.199.229:39129/
[rosmaster.master][INFO] 2019-08-06 17:51:31,716: +SERVICE [/amazon_warehouse_robot/cmd_vel_mux/get_loggers] /amazon_warehouse_robot/cmd_vel_mux http://10.1.199.229:39129/
[rosmaster.master][INFO] 2019-08-06 17:51:31,718: +SERVICE [/amazon_warehouse_robot/cmd_vel_mux/set_logger_level] /amazon_warehouse_robot/cmd_vel_mux http://10.1.199.229:39129/
[rosmaster.master][INFO] 2019-08-06 17:51:31,720: +SUB [/clock] /amazon_warehouse_robot/amcl http://10.1.199.229:39967/
[rosmaster.master][INFO] 2019-08-06 17:51:31,731: +SUB [/clock] /amazon_warehouse_robot/cmd_vel_mux http://10.1.199.229:39129/
[rosmaster.master][INFO] 2019-08-06 17:51:31,736: +PUB [/rosout] /move_base http://10.1.199.229:43337/
[rosmaster.master][INFO] 2019-08-06 17:51:31,737: +PARAM [/amazon_warehouse_robot/cmd_vel_mux] by /amazon_warehouse_robot/cmd_vel_mux
[rosmaster.master][INFO] 2019-08-06 17:51:31,739: +SERVICE [/move_base/get_loggers] /move_base http://10.1.199.229:43337/
[rosmaster.master][INFO] 2019-08-06 17:51:31,743: +SERVICE [/move_base/set_logger_level] /move_base http://10.1.199.229:43337/
[rosmaster.master][INFO] 2019-08-06 17:51:31,744: +PUB [/rosout] /amazon_warehouse_robot/nodelet_manager http://10.1.199.229:43157/
[rosmaster.master][INFO] 2019-08-06 17:51:31,746: +SERVICE [/amazon_warehouse_robot/nodelet_manager/get_loggers] /amazon_warehouse_robot/nodelet_manager http://10.1.199.229:43157/
[rosmaster.master][INFO] 2019-08-06 17:51:31,749: +SERVICE [/amazon_warehouse_robot/nodelet_manager/set_logger_level] /amazon_warehouse_robot/nodelet_manager http://10.1.199.229:43157/
[rosmaster.master][INFO] 2019-08-06 17:51:31,757: +SUB [/clock] /move_base http://10.1.199.229:43337/
[rosmaster.master][INFO] 2019-08-06 17:51:31,765: +SUB [/clock] /amazon_warehouse_robot/nodelet_manager http://10.1.199.229:43157/
[rosmaster.master][INFO] 2019-08-06 17:51:31,771: +SERVICE [/amazon_warehouse_robot/nodelet_manager/load_nodelet] /amazon_warehouse_robot/nodelet_manager http://10.1.199.229:43157/
[rosmaster.master][INFO] 2019-08-06 17:51:31,772: +SUB [/tf] /move_base http://10.1.199.229:43337/
[rosmaster.master][INFO] 2019-08-06 17:51:31,774: +SERVICE [/amazon_warehouse_robot/nodelet_manager/unload_nodelet] /amazon_warehouse_robot/nodelet_manager http://10.1.199.229:43157/
[rosmaster.master][INFO] 2019-08-06 17:51:31,777: +SERVICE [/amazon_warehouse_robot/nodelet_manager/list] /amazon_warehouse_robot/nodelet_manager http://10.1.199.229:43157/
[rosmaster.master][INFO] 2019-08-06 17:51:31,783: +SUB [/tf_static] /move_base http://10.1.199.229:43337/
[rosmaster.master][INFO] 2019-08-06 17:51:31,798: +PUB [/tf] /amazon_warehouse_robot/amcl http://10.1.199.229:39967/
[rosmaster.master][INFO] 2019-08-06 17:51:31,803: +SUB [/tf] /amazon_warehouse_robot/amcl http://10.1.199.229:39967/
[rosmaster.master][INFO] 2019-08-06 17:51:31,805: publisherUpdate[/rosout] -> http://10.1.199.229:33281/ ['http://10.1.199.229:40143/', 'http://10.1.199.229:37185/', 'http://10.1.199.229:39967/', 'http://10.1.199.229:39129/']
[rosmaster.master][INFO] 2019-08-06 17:51:31,806: publisherUpdate[/rosout] -> http://10.1.199.229:33281/ ['http://10.1.199.229:40143/', 'http://10.1.199.229:37185/', 'http://10.1.199.229:39967/', 'http://10.1.199.229:39129/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-08-06 17:51:31,806: publisherUpdate[/tf] -> http://10.1.199.229:43337/ ['http://10.1.199.229:37185/', 'http://10.1.199.229:39967/']
[rosmaster.master][INFO] 2019-08-06 17:51:31,807: publisherUpdate[/rosout] -> http://10.1.199.229:33281/ ['http://10.1.199.229:40143/', 'http://10.1.199.229:37185/', 'http://10.1.199.229:39967/', 'http://10.1.199.229:39129/', 'http://10.1.199.229:43337/']
[rosmaster.master][INFO] 2019-08-06 17:51:31,808: publisherUpdate[/rosout] -> http://10.1.199.229:33281/ ['http://10.1.199.229:40143/', 'http://10.1.199.229:37185/', 'http://10.1.199.229:39967/', 'http://10.1.199.229:39129/', 'http://10.1.199.229:43337/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-08-06 17:51:31,809: publisherUpdate[/rosout] -> http://10.1.199.229:33281/ ['http://10.1.199.229:40143/', 'http://10.1.199.229:37185/', 'http://10.1.199.229:39967/', 'http://10.1.199.229:39129/', 'http://10.1.199.229:43337/', 'http://10.1.199.229:43157/']
[rosmaster.master][INFO] 2019-08-06 17:51:31,809: publisherUpdate[/tf] -> http://10.1.199.229:43337/ ['http://10.1.199.229:37185/', 'http://10.1.199.229:39967/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-08-06 17:51:31,811: publisherUpdate[/rosout] -> http://10.1.199.229:33281/ ['http://10.1.199.229:40143/', 'http://10.1.199.229:37185/', 'http://10.1.199.229:39967/', 'http://10.1.199.229:39129/', 'http://10.1.199.229:43337/', 'http://10.1.199.229:43157/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-08-06 17:51:31,811: +SUB [/tf_static] /amazon_warehouse_robot/amcl http://10.1.199.229:39967/
[rosmaster.master][INFO] 2019-08-06 17:51:31,813: +PUB [/amazon_warehouse_robot/amcl_pose] /amazon_warehouse_robot/amcl http://10.1.199.229:39967/
[rosmaster.master][INFO] 2019-08-06 17:51:31,814: +PUB [/amazon_warehouse_robot/particlecloud] /amazon_warehouse_robot/amcl http://10.1.199.229:39967/
[rosmaster.master][INFO] 2019-08-06 17:51:31,815: +SERVICE [/amazon_warehouse_robot/global_localization] /amazon_warehouse_robot/amcl http://10.1.199.229:39967/
[rosmaster.master][INFO] 2019-08-06 17:51:31,816: +SERVICE [/amazon_warehouse_robot/request_nomotion_update] /amazon_warehouse_robot/amcl http://10.1.199.229:39967/
[rosmaster.master][INFO] 2019-08-06 17:51:31,817: +SERVICE [/amazon_warehouse_robot/set_map] /amazon_warehouse_robot/amcl http://10.1.199.229:39967/
[rosmaster.master][INFO] 2019-08-06 17:51:31,821: +SUB [/amazon_warehouse_robot/laser/scan] /amazon_warehouse_robot/amcl http://10.1.199.229:39967/
[rosmaster.master][INFO] 2019-08-06 17:51:31,826: +SUB [/amazon_warehouse_robot/initialpose] /amazon_warehouse_robot/amcl http://10.1.199.229:39967/
[rosmaster.master][INFO] 2019-08-06 17:51:31,830: +SUB [/amazon_warehouse_robot/map] /amazon_warehouse_robot/amcl http://10.1.199.229:39967/
[rosmaster.master][INFO] 2019-08-06 17:51:31,832: +SERVICE [/amazon_warehouse_robot/amcl/set_parameters] /amazon_warehouse_robot/amcl http://10.1.199.229:39967/
[rosmaster.master][INFO] 2019-08-06 17:51:31,833: +PUB [/amazon_warehouse_robot/amcl/parameter_descriptions] /amazon_warehouse_robot/amcl http://10.1.199.229:39967/
