[rosmaster.main][INFO] 2019-08-06 18:20:25,931: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-08-06 18:20:25,931: Starting ROS Master Node
[xmlrpc][INFO] 2019-08-06 18:20:25,932: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-08-06 18:20:25,932: Started XML-RPC server [http://10.1.199.229:11311/]
[rosmaster.master][INFO] 2019-08-06 18:20:25,932: Master initialized: port[11311], uri[http://10.1.199.229:11311/]
[xmlrpc][INFO] 2019-08-06 18:20:25,933: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-08-06 18:20:25,993: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:20:25,995: +PARAM [/roslaunch/uris/host_10_1_199_229__39925] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:20:26,217: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:20:26,218: +PARAM [/move_base/local_costmap/laser_scan_sensor/sensor_frame] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:20:26,218: +PARAM [/move_base_patrol/TrajectoryPlannerROS/acc_lim_x] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:20:26,219: +PARAM [/amcl/gui_publish_rate] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:20:26,219: +PARAM [/move_base/local_costmap/footprint] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:20:26,219: +PARAM [/amcl_patrol/laser_max_beams] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:20:26,219: +PARAM [/move_base_patrol/global_costmap/raytrace_range] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:20:26,219: +PARAM [/move_base_patrol/local_costmap/laser_scan_sensor/topic] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:20:26,220: +PARAM [/move_base/local_costmap/observation_sources] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:20:26,220: +PARAM [/move_base/global_costmap/laser_scan_sensor/marking] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:20:26,220: +PARAM [/move_base/TrajectoryPlannerROS/acc_lim_y] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:20:26,220: +PARAM [/move_base/TrajectoryPlannerROS/acc_lim_x] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:20:26,220: +PARAM [/move_base/local_costmap/cost_scaling_factor] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:20:26,220: +PARAM [/move_base_patrol/TrajectoryPlannerROS/max_rotational_vel] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:20:26,221: +SERVICE [/rosout/get_loggers] /rosout http://10.1.199.229:34419/
[rosmaster.master][INFO] 2019-08-06 18:20:26,221: +PARAM [/move_base_patrol/local_costmap/laser_scan_sensor/observation_persistence] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:20:26,222: +PARAM [/amcl_patrol/global_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:20:26,222: +PARAM [/move_base/local_costmap/transform_tolerance] by /roslaunch
