[rosmaster.main][INFO] 2019-08-06 18:13:25,818: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-08-06 18:13:25,818: Starting ROS Master Node
[xmlrpc][INFO] 2019-08-06 18:13:25,819: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-08-06 18:13:25,820: Started XML-RPC server [http://10.1.199.229:11311/]
[rosmaster.master][INFO] 2019-08-06 18:13:25,820: Master initialized: port[11311], uri[http://10.1.199.229:11311/]
[xmlrpc][INFO] 2019-08-06 18:13:25,820: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-08-06 18:13:25,877: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:13:25,879: +PARAM [/roslaunch/uris/host_10_1_199_229__42343] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:13:26,096: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:13:26,097: +PARAM [/amazon_warehouse_robot/amcl/odom_model_type] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:13:26,098: +PARAM [/amazon_warehouse_robot/amcl/gui_publish_rate] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:13:26,098: +PARAM [/move_base/global_costmap/laser_scan_sensor/sensor_frame] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:13:26,098: +PARAM [/move_base/TrajectoryPlannerROS/max_vel_theta] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:13:26,098: +PARAM [/move_base/global_costmap/laser_scan_sensor/observation_persistence] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:13:26,098: +PARAM [/move_base/TrajectoryPlannerROS/min_vel_x] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:13:26,098: +PARAM [/move_base/local_costmap/planner_freqency] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:13:26,099: +PARAM [/move_base/local_costmap/footprint_padding] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:13:26,099: +PARAM [/move_base/global_costmap/robot_base_frame] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:13:26,100: +SERVICE [/rosout/get_loggers] /rosout http://10.1.199.229:42909/
[rosmaster.master][INFO] 2019-08-06 18:13:26,100: +PARAM [/amazon_warehouse_robot/amcl/laser_max_beams] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:13:26,100: +PARAM [/move_base/local_costmap/height] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:13:26,101: +PARAM [/move_base/local_costmap/obstacle_range] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:13:26,101: +SERVICE [/rosout/set_logger_level] /rosout http://10.1.199.229:42909/
[rosmaster.master][INFO] 2019-08-06 18:13:26,102: +PARAM [/move_base/global_costmap/footprint_padding] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:13:26,102: +PARAM [/move_base/global_costmap/laser_scan_sensor/marking] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:13:26,103: +PARAM [/move_base/local_costmap/laser_scan_sensor/sensor_frame] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:13:26,103: +PARAM [/move_base/TrajectoryPlannerROS/acc_lim_y] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:13:26,104: +PARAM [/move_base/TrajectoryPlannerROS/acc_lim_x] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:13:26,105: +PARAM [/move_base/local_costmap/cost_scaling_factor] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:13:26,105: +PARAM [/move_base/local_costmap/static_map] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:13:26,105: +PARAM [/move_base/TrajectoryPlannerROS/holomonic_robot] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:13:26,106: +PARAM [/move_base/local_costmap/transform_tolerance] by /roslaunch
