[rosmaster.main][INFO] 2019-08-06 17:53:43,167: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-08-06 17:53:43,167: Starting ROS Master Node
[xmlrpc][INFO] 2019-08-06 17:53:43,169: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-08-06 17:53:43,169: Started XML-RPC server [http://10.1.199.229:11311/]
[rosmaster.master][INFO] 2019-08-06 17:53:43,169: Master initialized: port[11311], uri[http://10.1.199.229:11311/]
[xmlrpc][INFO] 2019-08-06 17:53:43,170: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-08-06 17:53:43,228: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:53:43,230: +PARAM [/roslaunch/uris/host_10_1_199_229__46157] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:53:43,452: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:53:43,453: +PARAM [/move_base/local_costmap/laser_scan_sensor/sensor_frame] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:53:43,454: +PARAM [/amazon_warehouse_robot/amcl/gui_publish_rate] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:53:43,454: +PARAM [/move_base/local_costmap/footprint] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:53:43,454: +PARAM [/amazon_warehouse_robot_patrol/move_base/TrajectoryPlannerROS/max_vel_x] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:53:43,454: +PARAM [/amazon_warehouse_robot_patrol/move_base/global_costmap/cost_scaling_factor] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:53:43,454: +PARAM [/amazon_warehouse_robot_patrol/amcl_patrol/odom_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:53:43,454: +PARAM [/move_base/global_costmap/laser_scan_sensor/marking] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:53:43,455: +PARAM [/move_base/TrajectoryPlannerROS/acc_lim_y] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:53:43,455: +PARAM [/move_base/TrajectoryPlannerROS/acc_lim_x] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:53:43,455: +SERVICE [/rosout/get_loggers] /rosout http://10.1.199.229:36631/
[rosmaster.master][INFO] 2019-08-06 17:53:43,456: +PARAM [/move_base/local_costmap/cost_scaling_factor] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:53:43,456: +PARAM [/move_base/local_costmap/transform_tolerance] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:53:43,456: +PARAM [/move_base/TrajectoryPlannerROS/min_vel_x] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:53:43,457: +SERVICE [/rosout/set_logger_level] /rosout http://10.1.199.229:36631/
[rosmaster.master][INFO] 2019-08-06 17:53:43,457: +PARAM [/move_base/local_costmap/height] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:53:43,458: +PARAM [/move_base/global_costmap/laser_scan_sensor/sensor_frame] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:53:43,458: +PARAM [/move_base/global_costmap/obstacle_range] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:53:43,458: +PARAM [/move_base/local_costmap/inflation_radius] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:53:43,459: +PARAM [/amazon_warehouse_robot_patrol/move_base/local_costmap/obstacle_range] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:53:43,459: +PARAM [/amazon_warehouse_robot_patrol/move_base/TrajectoryPlannerROS/acc_lim_th] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:53:43,459: +PARAM [/amazon_warehouse_robot_patrol/amcl_patrol/laser_max_beams] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:53:43,459: +PARAM [/move_base/global_costmap/footprint] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:53:43,460: +PARAM [/move_base/global_costmap/laser_scan_sensor/topic] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:53:43,460: +PARAM [/amazon_warehouse_robot_patrol/move_base/global_costmap/robot_base_frame] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:53:43,461: +PARAM [/move_base/local_costmap/static_map] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:53:43,461: +PARAM [/move_base/local_costmap/resolution] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:53:43,462: +PARAM [/amazon_warehouse_robot/amcl/base_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:53:43,462: +PARAM [/move_base/global_costmap/laser_scan_sensor/data_type] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:53:43,463: +PARAM [/move_base/local_costmap/observation_sources] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:53:43,463: +PARAM [/amazon_warehouse_robot_patrol/amcl_patrol/base_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:53:43,463: +PARAM [/amazon_warehouse_robot_patrol/move_base/local_costmap/static_map] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 17:53:43,463: +PARAM [/move_base/local_costmap/width] by /roslaunch
