[rosmaster.main][INFO] 2019-08-06 18:08:36,718: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-08-06 18:08:36,718: Starting ROS Master Node
[xmlrpc][INFO] 2019-08-06 18:08:36,719: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-08-06 18:08:36,719: Started XML-RPC server [http://10.1.199.229:11311/]
[rosmaster.master][INFO] 2019-08-06 18:08:36,720: Master initialized: port[11311], uri[http://10.1.199.229:11311/]
[xmlrpc][INFO] 2019-08-06 18:08:36,720: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-08-06 18:08:36,783: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:08:36,785: +PARAM [/roslaunch/uris/host_10_1_199_229__41487] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:08:37,001: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:08:37,001: +PARAM [/move_base/local_costmap/observation_sources] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:08:37,002: +PARAM [/amcl/laser_max_beams] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:08:37,002: +PARAM [/move_base/local_costmap/laser_scan_sensor/sensor_frame] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:08:37,003: +PARAM [/amcl/gui_publish_rate] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:08:37,003: +PARAM [/move_base/global_costmap/laser_scan_sensor/sensor_frame] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:08:37,003: +PARAM [/move_base/TrajectoryPlannerROS/max_vel_theta] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:08:37,003: +PARAM [/move_base/global_costmap/laser_scan_sensor/observation_persistence] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:08:37,003: +PARAM [/move_base/local_costmap/update_frequency] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:08:37,003: +PARAM [/move_base/local_costmap/planner_freqency] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:08:37,003: +PARAM [/move_base/local_costmap/height] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:08:37,004: +SERVICE [/rosout/get_loggers] /rosout http://10.1.199.229:33089/
[rosmaster.master][INFO] 2019-08-06 18:08:37,004: +PARAM [/amcl/odom_model_type] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:08:37,005: +PARAM [/move_base/TrajectoryPlannerROS/acc_lim_x] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:08:37,005: +PARAM [/move_base/global_costmap/robot_base_frame] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:08:37,006: +SERVICE [/rosout/set_logger_level] /rosout http://10.1.199.229:33089/
[rosmaster.master][INFO] 2019-08-06 18:08:37,006: +PARAM [/move_base/local_costmap/publish_frequency] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:08:37,006: +PARAM [/move_base/local_costmap/obstacle_range] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:08:37,007: +PARAM [/move_base/global_costmap/footprint_padding] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:08:37,007: +PARAM [/move_base/global_costmap/laser_scan_sensor/marking] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:08:37,008: +PARAM [/move_base/TrajectoryPlannerROS/acc_lim_y] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:08:37,008: +PARAM [/amcl/global_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:08:37,009: +PARAM [/move_base/local_costmap/cost_scaling_factor] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:08:37,009: +PARAM [/move_base/local_costmap/static_map] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:08:37,009: +PARAM [/move_base/TrajectoryPlannerROS/holomonic_robot] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:08:37,010: +PARAM [/move_base/local_costmap/transform_tolerance] by /roslaunch
[rosmaster.master][INFO] 2019-08-06 18:08:37,011: +PARAM [/move_base/global_costmap/raytrace_range] by /roslaunch
